IdentifiantImmeuble;CodeVoieRivoliImmeuble;CodeInseeImmeuble;CodePostalImmeuble;CommuneImmeuble;CodeAdresseImmeuble;TypeVoieImmeuble;NomVoieImmeuble;NumeroVoieImmeuble;ComplementNumeroVoieImmeuble;BatimentImmeuble;NombreLogementsAdresseIPE;EtatImmeuble;DateSignatureConvention;GestionnaireImmeuble;CodePostalGestionnaire;CommuneGestionnaire;TypeVoieGestionnaire;NomVoieGestionnaire;NumeroVoieGestionnaire;ComplementNumeroVoieGestionnaire;CodeAdresseGestionnaire;SiretGestionnaire;DateCablageAdresse;DateDerniereModification;ReferencePM;TypeIngenierie;FibreDedieeLibre;TypeImmeuble;TypeProjectionGeographique;CoordonneeImmeubleX;CoordonneeImmeubleY;AccordGestionnaireImmeubleNecessaire;TypeZone;DateMiseEnServiceCommercialeImmeuble;ImmeubleNeuf;DatePrevLivraisonImmeubleNeuf;CodeHexacleVoie;DateDebutAcceptationCmdAcces;DateDebutFournitureCRCmdAcces;ReferencePBO;DateMADPBO;NombrelogementsPBO;TypePBO;TypeRaccoPBPTO;ConditionsSyndic
IMB/01004/X/00YX;0550;01004;01500;Ambérieu-en-Bugey;01004224E2;Rue;de la République;134;;;1;CIBLE;;;;;;;;;;;;201509120000;FI-01004-000C;MonofibreZMD;;PAVILLON;RGF93;882152.16;6543387.58;N;3;;;;010042224L;;;;;;;;
IMB/01004/X/00YY;0550;01004;01500;Ambérieu-en-Bugey;01004224E3;Rue;de la République;135;;;1;CIBLE;;;;;;;;;;;;201711140000;FI-01004-000B;MonofibreZMD;;PAVILLON;RGF93;882152.52;6543079.85;N;3;;;;010042224L;;;;;;;aérien;
IMB/01004/X/00YZ;0550;01004;01500;Ambérieu-en-Bugey;01004224E4;Rue;de la République;137;;;1;CIBLE;;;;;;;;;;;;201711140000;FI-01004-000B;MonofibreZMD;;PAVILLON;RGF93;882147.60;6543088.88;N;3;;;;010042224L;;;;;;;aérien;
IMB/01004/X/00Z0;0550;01004;01500;Ambérieu-en-Bugey;01004224E6;Rue;de la République;138;;;4;CIBLE;;RAA INCONNU 01;69003;Lyon 03;Rue;du Dauphiné;8;;;;;201601080000;FI-01004-000C;MonofibreZMD;;IMMEUBLE;RGF93;882116.22;6543390.89;O;3;;;;010042224L;;;;;;;;
IMB/01004/X/00Z1;0550;01004;01500;Ambérieu-en-Bugey;01004224E7;Rue;de la République;140;;;1;CIBLE;;;;;;;;;;;;201509120000;FI-01004-000C;MonofibreZMD;;PAVILLON;RGF93;882106.47;6543418.95;N;3;;;;010042224L;;;;;;;;
IMB/01004/X/00Z2;0550;01004;01500;Ambérieu-en-Bugey;01004224E9;Rue;de la République;141;;;1;CIBLE;;;;;;;;;;;;201711140000;FI-01004-000B;MonofibreZMD;;PAVILLON;RGF93;882145.71;6543100.89;N;3;;;;010042224L;;;;;;;aérien;
IMB/01004/X/00Z3;0550;01004;01500;Ambérieu-en-Bugey;01004224EA;Rue;de la République;142;;;2;CIBLE;;;;;;;;;;;;201509120000;FI-01004-000C;MonofibreZMD;;PAVILLON;RGF93;882090.58;6543430.08;N;3;;;;010042224L;;;;;;;;
IMB/01004/X/00Z4;0550;01004;01500;Ambérieu-en-Bugey;01004224EB;Rue;de la République;143;;;1;CIBLE;;;;;;;;;;;;201711140000;FI-01004-000B;MonofibreZMD;;PAVILLON;RGF93;882133.91;6543123.97;N;3;;;;010042224L;;;;;;;aérien;
IMB/01004/X/00Z5;0550;01004;01500;Ambérieu-en-Bugey;01004224EC;Rue;de la République;145;;;1;CIBLE;;;;;;;;;;;;201711140000;FI-01004-000B;MonofibreZMD;;PAVILLON;RGF93;882128.00;6543133.01;N;3;;;;010042224L;;;;;;;aérien;
IMB/01004/X/00Z6;0550;01004;01500;Ambérieu-en-Bugey;01004224EE;Rue;de la République;146;;;3;CIBLE;;;;;;;;;;;;201509120000;FI-01004-000C;MonofibreZMD;;IMMEUBLE;RGF93;882079.78;6543452.15;N;3;;;;010042224L;;;;;;;;
IMB/01004/X/00Z7;0550;01004;01500;Ambérieu-en-Bugey;01004224EG;Rue;de la République;148;;;3;CIBLE;;;;;;;;;;;;201509120000;FI-01004-000C;MonofibreZMD;;IMMEUBLE;RGF93;882077.85;6543461.16;N;3;;;;010042224L;;;;;;;;
IMB/01004/X/00Z8;0550;01004;01500;Ambérieu-en-Bugey;01004224EH;Rue;de la République;149;;;1;CIBLE;;;;;;;;;;;;201711140000;FI-01004-000B;MonofibreZMD;;PAVILLON;RGF93;882121.25;6543162.04;N;3;;;;010042224L;;;;;;;aérien;
IMB/01004/X/00Z9;0550;01004;01500;Ambérieu-en-Bugey;01004224EI;Rue;de la République;151;;;2;CIBLE;;;;;;;;;;;;201711140000;FI-01004-000B;MonofibreZMD;;PAVILLON;RGF93;882115.40;6543179.08;N;3;;;;010042224L;;;;;;;aérien;
IMB/01004/X/00ZA;0550;01004;01500;Ambérieu-en-Bugey;01004224EL;Rue;de la République;152;;;1;CIBLE;;;;;;;;;;;;201509120000;FI-01004-000C;MonofibreZMD;;PAVILLON;RGF93;882061.11;6543489.28;N;3;;;;010042224L;;;;;;;;
